foodIndex,foodName
1,볶음밥
2,김치찌개
3,된장찌개
4,닭갈비
5,닭도리탕
6,불고기
7,삼겹살
8,수육
9,제육볶음
10,족발
11,잔치국수
12,칼국수
13,콩국수
14,비빔밥
15,삼계탕
16,게장
17,수제비
18,초밥
19,돈부리
20,돈까스
21,회
22,라멘
23,냉모밀
24,우동
25,스테이크
26,리조또
27,파스타
28,함박스테이크
29,피자
30,짜장면
31,짬뽕
32,샤브샤브
33,쌀국수
34,월남쌈
35,커리
36,김밥
37,떡볶이
38,라면
39,오므라이스
40,컵밥
41,브리또
42,햄버거
43,샌드위치
44,치킨
45,타코
46,갈비찜
47,찜닭
48,갈비탕
49,설렁탕
50,막창
51,곱창
52,물냉면
53,비빔냉면
54,뼈해장국
55,순대국
56,전
57,소고기
58,갈비
59,오리고기
60,양고기
61,팟타이
62,생선구이
63,알탕
64,떡갈비
65,쭈꾸미
66,만두
67,샐러드
68,아구찜
69,쌈밥
70,토스트
71,부대찌개
72,똠양꿍
73,매운탕
74,순대
75,청국장
76,마라탕
