userIndex,foodIndex,eventStrength
1,1,3
1,2,2
1,3,4
1,4,3
1,5,1
1,6,3
1,7,4
1,8,5
1,9,2
1,10,4
1,11,2
1,12,3
1,13,3
1,14,3
1,15,3
1,16,3
1,17,1
1,18,5
1,19,3
1,20,3
1,21,5
1,22,4
1,23,4
1,24,3
1,25,5
1,26,5
1,27,5
1,28,3
1,29,5
1,30,5
1,31,2
1,32,2
1,33,2
1,34,2
1,35,3
1,36,3
1,37,3
1,38,4
1,39,3
1,40,2
1,41,4
1,42,5
1,43,5
1,44,4
1,45,4
2,1,5
2,2,5
2,3,5
2,4,2
2,5,2
2,6,5
2,7,5
2,8,2
2,9,5
2,10,2
2,11,5
2,12,1
2,13,5
2,14,3
2,15,1
2,16,5
2,17,2
2,18,5
2,19,5
2,20,1
2,23,5
2,24,2
2,25,2
2,27,5
2,28,1
2,29,2
2,30,4
2,31,2
2,32,2
2,33,1
2,34,2
2,35,3
2,36,3
2,37,1
2,38,1
2,39,5
2,40,4
2,41,5
2,42,1
2,43,1
2,44,3
2,45,5
3,1,4
3,2,3
3,3,5
3,4,3
3,5,2
3,6,4
3,7,4
3,8,4
3,9,4
3,10,2
3,11,1
3,12,3
3,13,4
3,14,4
3,15,4
3,17,4
3,18,4
3,19,5
3,20,3
3,21,4
3,22,3
3,23,4
3,24,3
3,25,5
3,26,2
3,27,4
3,28,3
3,29,2
3,30,4
3,31,3
3,32,4
3,33,2
3,34,5
3,35,3
3,36,2
3,37,4
3,38,4
3,39,4
3,40,3
3,41,2
3,42,4
3,43,3
3,44,4
3,45,2
4,1,4
4,2,4
4,3,2
4,4,4
4,5,5
4,6,4
4,7,5
4,8,4
4,9,5
4,10,4
4,11,5
4,12,5
4,13,4
4,14,4
4,15,4
4,16,1
4,17,4
4,18,4
4,19,4
4,20,4
4,21,3
4,22,3
4,23,3
4,24,5
4,25,5
4,26,2
4,27,3
4,28,3
4,29,4
4,30,5
4,31,3
4,32,3
4,33,1
4,34,3
4,35,3
4,36,3
4,37,5
4,38,3
4,39,4
4,40,2
4,41,3
4,42,3
4,43,4
4,44,4
4,45,3
5,1,5
5,2,4
5,3,4
5,4,5
5,5,3
5,6,5
5,7,5
5,8,5
5,9,4
5,10,4
5,11,4
5,12,4
5,13,2
5,14,4
5,15,3
5,16,4
5,17,2
5,18,5
5,19,5
5,20,5
5,21,5
5,22,5
5,23,4
5,24,4
5,25,5
5,26,5
5,27,5
5,28,5
5,29,5
5,30,5
5,31,4
5,32,5
5,33,5
5,34,5
5,35,5
5,36,5
5,37,4
5,38,5
5,39,5
5,40,4
5,41,5
5,42,5
5,43,5
5,44,5
5,45,5
6,1,5
6,2,4
6,3,5
6,4,3
6,5,2
6,6,5
6,7,5
6,8,5
6,9,5
6,10,4
6,11,1
6,12,4
6,13,2
6,14,3
6,15,2
6,16,5
6,17,4
6,18,5
6,19,5
6,20,5
6,21,5
6,22,5
6,23,4
6,24,1
6,25,5
6,26,5
6,27,5
6,28,3
6,29,5
6,30,5
6,31,2
6,32,5
6,33,2
6,34,1
6,35,5
6,36,4
6,37,5
6,38,5
6,39,5
6,40,5
6,41,4
6,42,5
6,43,3
6,44,5
6,45,4
7,1,5
7,2,5
7,3,4
7,4,5
7,5,5
7,6,3
