,recall@5,recall@10,ndcg@5,ndcg@10
5,0.9936231884057971,0.9975845410628018,0.8814487229895915,0.9187748114791828
10,0.9703381642512078,0.9851207729468598,0.8750997580817416,0.9066071246707195
15,0.9241545893719806,0.9593236714975845,0.870729512317251,0.8830194898116794
20,0.8613526570048311,0.9247342995169083,0.8578050633160471,0.8440796553349725
25,0.7951690821256039,0.8916908212560386,0.8307684858772987,0.7936413807075906
30,0.72,0.8500483091787439,0.7838891825041258,0.7316746544442021
35,0.6454106280193236,0.8165217391304347,0.7000394138430455,0.6560624236994272
40,0.578937198067633,0.7811594202898551,0.5942183305504194,0.5714356691435087
45,0.4941062801932367,0.7602898550724638,0.4477628901875971,0.4545913111586864
50,0.41159420289855075,0.7321739130434783,0.3248486863870478,0.3500689351544404
55,0.3047342995169082,0.7167149758454106,0.22123445456524043,0.25208688594214584
60,0.21516908212560387,0.710048309178744,0.17090503894550788,0.18581378666007486
65,0.17256038647342994,0.6895652173913044,0.1635591676320102,0.15640935026884698
70,0.14154589371980675,0.6705314009661836,0.156476416034561,0.13774995167415366
75,0.12202898550724636,0.6605797101449276,0.148498652115318,0.1285351706232296
