,contentId,foodName
0,0,분식(떡볶이/튀김/순대)
1,1,김밥
2,2,게장
3,3,닭갈비
4,4,샤브샤브
5,5,콩국수
6,6,파스타
7,7,삼계탕
8,8,우동
9,9,비빔밥
10,10,짜장면
11,11,불고기
12,12,잔치국수
13,13,치킨
14,14,회(사시미)
15,15,함박스테이크
16,16,카레/커리
17,17,족발
18,18,갈비탕/설렁탕 
19,19,"해장국(뼈해장국, 순대국 등)"
20,20,브리또&타코
21,21,삼겹살(구이)
22,22,제육볶음
23,23,냉모밀
24,24,베트남 쌀국수
25,25,볶음밥
26,26,냉면(물/비빔)
27,27,월남쌈
28,28,스테이크
29,29,컵밥
30,30,햄버거
31,31,돈까스
32,32,짬뽕
33,33,칼국수
34,34,돈부리(일본식 덮밥)
35,35,수육/보쌈
36,36,김치찌개
37,37,초밥
38,38,찜 (갈비찜/찜닭 등)
39,39,곱창/막창
40,40,된장찌개
41,41,피자
42,42,오므라이스
43,43,라멘
44,44,라면
45,45,리조또
46,46,수제비
47,47,닭도리탕
48,48,샌드위치
