,personId,contentId,eventStrength
0,62,0,5
1,39,1,3
2,74,2,5
3,85,3,5
4,54,4,3
5,68,5,1
6,86,6,5
7,129,7,1
8,112,8,3
9,75,9,3
10,65,10,3
11,131,11,1
12,47,2,1
13,143,12,3
14,137,13,3
15,14,14,3
16,15,15,2
17,51,16,5
18,156,17,4
19,30,18,4
20,69,19,5
21,39,2,3
22,9,1,3
23,156,11,4
24,104,20,3
25,130,4,3
26,16,8,3
27,86,21,5
28,44,22,5
29,146,11,5
30,107,23,5
31,137,24,1
32,144,17,4
33,137,25,2
34,122,1,4
35,139,19,5
36,73,26,4
37,83,15,5
38,144,21,5
39,119,27,5
40,64,28,3
41,131,9,1
42,60,7,2
43,30,2,5
44,41,29,2
45,113,11,4
46,92,20,3
47,104,30,4
48,74,16,4
49,149,31,4
50,49,18,4
51,55,22,4
52,156,32,4
53,133,33,5
54,93,2,5
55,101,18,3
56,107,17,4
57,51,34,4
58,132,24,4
59,49,35,5
60,113,28,5
61,6,2,4
62,92,9,5
63,75,36,2
64,115,28,5
65,90,37,4
66,90,19,4
67,116,23,2
68,131,1,3
69,109,30,5
70,150,27,4
71,138,11,3
72,85,38,2
73,74,37,5
74,126,27,5
75,14,39,4
76,110,40,4
77,105,30,4
78,28,2,5
79,132,19,3
80,31,41,5
81,64,17,3
82,126,9,5
83,22,9,3
84,26,31,3
85,140,10,3
86,99,30,3
88,126,26,5
89,24,33,5
90,153,42,5
91,53,1,5
92,106,43,5
93,129,43,5
94,13,11,5
95,58,40,3
96,84,10,5
97,94,41,4
98,37,41,3
99,7,5,4
100,5,10,5
101,78,44,5
102,53,42,5
103,24,28,4
104,117,25,5
105,8,33,5
106,25,34,3
107,9,16,3
108,118,45,5
109,103,8,4
110,110,34,3
111,109,18,3
112,139,9,4
113,143,31,3
114,141,42,4
115,133,10,5
116,156,33,4
117,65,3,4
118,97,40,4
119,128,41,4
120,4,28,5
121,7,27,4
122,145,38,5
123,0,29,2
124,129,17,5
125,22,26,2
126,140,35,5
127,96,7,2
128,70,38,2
129,86,17,5
130,25,22,3
131,117,38,5
132,92,2,1
134,63,29,1
135,65,12,3
136,15,27,1
137,73,7,5
138,8,10,2
139,140,6,4
140,151,30,3
141,134,10,4
142,54,17,5
143,29,39,4
144,90,28,5
145,28,12,3
146,8,27,3
147,96,38,4
148,11,19,2
149,54,6,5
150,59,9,3
151,129,18,3
152,12,28,5
153,50,40,5
154,47,19,5
155,68,34,3
156,80,28,5
157,105,46,3
158,107,30,4
159,30,30,4
160,117,13,5
161,54,23,3
162,82,39,5
163,123,43,4
164,22,4,2
165,138,37,5
166,100,34,3
167,89,38,5
168,87,5,5
169,25,18,4
170,67,24,4
171,117,22,5
172,28,18,4
173,43,14,3
174,155,20,3
175,28,41,4
176,1,44,1
177,151,18,4
178,156,8,4
179,122,40,3
180,54,20,2
181,147,21,4
182,99,9,3
183,98,4,4
184,147,2,3
185,113,24,4
186,128,31,3
187,76,38,4
188,18,1,5
189,39,35,3
190,7,12,4
191,59,6,5
192,21,10,3
193,15,8,4
194,148,37,4
195,10,40,4
196,48,29,4
197,14,26,4
198,135,31,4
199,85,42,4
200,69,35,5
201,152,24,4
