foodId,foodName
0,볶음밥
1,김치찌개
2,된장찌개
3,닭갈비
4,닭도리탕
5,불고기
6,삼겹살
7,수육
8,제육볶음
9,족발
10,잔치국수
11,칼국수
12,콩국수
13,비빔밥
14,삼계탕
15,게장
16,수제비
17,초밥
18,돈부리
19,돈까스
20,회
21,라멘
22,냉모밀
23,우동
24,스테이크
25,리조또
26,파스타
27,함박스테이크
28,피자
29,짜장면
30,짬뽕
31,샤브샤브
32,쌀국수
33,월남쌈
34,커리
35,김밥
36,떡볶이
37,라면
38,오므라이스
39,컵밥
40,브리또
41,햄버거
42,샌드위치
43,치킨
44,타코
45,갈비찜
46,찜닭
47,갈비탕
48,설렁탕
49,막창
50,곱창
51,물냉면
52,비빔냉면
53,뼈해장국
54,순대국
55,전
56,소고기
57,갈비
58,오리고기
59,양고기
60,팟타이
61,생선구이
62,알탕
63,떡갈비
64,쭈꾸미
65,만두
66,샐러드
67,아구찜
68,쌈밥
69,토스트
70,부대찌개
71,똠양꿍
72,매운탕
73,순대
74,청국장
75,마라탕
