userId,foodId,eventStrength
83,0,2
10,1,4
123,2,3
53,1,5
27,3,3
17,4,3
4,5,5
158,6,4
6,5,4
17,7,4
15,8,5
9,2,2
55,9,5
70,10,2
71,11,4
77,12,5
140,13,5
85,14,4
63,15,4
80,16,3
97,17,4
31,8,3
139,18,2
147,19,5
122,20,5
123,21,4
16,13,4
129,14,2
22,22,4
130,21,4
157,23,5
66,24,2
7,25,4
49,7,5
151,26,4
148,25,5
42,27,5
32,28,4
93,10,2
62,29,4
120,30,5
47,23,3
44,20,4
13,25,5
103,24,3
81,31,3
84,20,5
116,24,2
98,24,5
141,26,3
98,32,4
144,21,5
158,16,3
135,33,5
42,34,4
84,5,4
94,35,3
22,30,3
51,36,5
58,8,3
74,3,5
44,6,5
143,2,4
123,31,4
115,7,2
118,14,5
120,14,5
61,37,5
90,27,3
72,18,2
22,6,4
88,28,4
110,28,3
148,38,4
56,39,3
110,10,1
76,2,5
63,4,5
149,40,3
94,17,4
0,41,4
62,37,4
67,26,5
81,27,4
20,6,5
99,42,2
13,9,5
87,9,5
149,43,4
21,27,2
127,1,4
106,12,3
38,28,3
35,4,5
145,23,4
49,13,4
77,11,5
10,23,4
94,40,5
5,12,5
90,44,4
70,6,3
107,45,2
60,24,4
90,29,5
156,45,4
16,18,5
142,5,4
7,7,5
17,15,4
116,43,3
91,45,5
6,38,3
89,19,4
0,46,3
100,22,5
69,40,4
158,15,3
135,29,5
8,16,5
87,6,2
77,24,5
76,25,3
50,45,2
134,12,5
2,1,4
7,30,4
21,38,3
85,29,5
75,2,3
32,16,4
8,33,3
94,0,3
127,33,4
130,10,3
54,24,3
102,19,4
94,4,4
90,7,4
14,3,3
78,22,3
121,18,3
22,29,4
120,32,5
42,17,5
98,33,5
116,31,4
54,35,3
65,15,2
157,6,3
84,24,5
67,21,4
154,47,5
138,3,2
134,0,4
51,5,4
106,24,3
35,15,4
124,3,5
152,27,3
72,28,2
158,37,4
132,40,4
88,13,2
11,7,5
