,recall@5,recall@10,ndcg@5,ndcg@10
5,0.9933333333333334,0.9972946859903382,0.8814487229895915,0.9187748114791828
10,0.969855072463768,0.9852173913043478,0.8750997580817416,0.9066071246707195
15,0.9235748792270531,0.9599033816425122,0.870729512317251,0.8830194898116794
20,0.862415458937198,0.923768115942029,0.8578050633160471,0.8440796553349725
25,0.7959420289855073,0.8913043478260869,0.8307684858772987,0.7936413807075906
30,0.7181642512077294,0.8486956521739131,0.7838891825041258,0.7316746544442021
35,0.6447342995169082,0.8132367149758453,0.7000394138430455,0.6560624236994272
40,0.5742995169082126,0.7790338164251208,0.5942183305504194,0.5714356691435087
45,0.49391304347826087,0.7541062801932367,0.4477628901875971,0.4545913111586864
50,0.40937198067632846,0.7308212560386474,0.3248486863870478,0.3500689351544404
55,0.30599033816425125,0.7174879227053141,0.22123445456524043,0.25208688594214584
60,0.21632850241545895,0.7088888888888889,0.17090503894550788,0.18581378666007486
65,0.17120772946859902,0.6954589371980676,0.1635591676320102,0.15640935026884698
70,0.1428985507246377,0.667632850241546,0.156476416034561,0.13774995167415366
75,0.12164251207729468,0.6634782608695653,0.148498652115318,0.1285351706232296
