userIndex,foodIndex,eventStrength
2,58,1
2,46,1
2,64,1
2,6,1
2,7,1
2,57,1
2,8,1
2,25,1
2,60,1
2,59,1
2,10,1
2,47,1
2,28,1
3,37,1
4,50,1
5,4,1
6,44,1
7,27,1
8,7,1
9,44,1
10,27,1
11,9,1
12,58,1
12,46,1
12,64,1
12,6,1
12,7,1
12,57,1
12,8,1
12,25,1
12,60,1
12,59,1
12,10,1
12,47,1
12,28,1
13,4,1
14,7,1
15,22,1
16,19,1
17,58,1
17,46,1
17,64,1
17,6,1
17,7,1
17,57,1
17,8,1
17,25,1
17,60,1
17,59,1
17,10,1
17,47,1
17,28,1
18,7,1
19,37,1
19,66,1
19,74,1
20,51,1
20,50,1
20,8,1
21,44,1
23,18,1
24,7,1
25,58,1
25,46,1
25,64,1
25,6,1
25,7,1
25,57,1
25,8,1
25,25,1
25,60,1
25,59,1
25,10,1
25,47,1
25,28,1
26,37,1
27,58,1
27,46,1
27,64,1
27,6,1
27,7,1
27,57,1
27,8,1
27,25,1
27,60,1
27,59,1
27,10,1
27,47,1
27,28,1
28,44,1
29,37,1
30,44,1
32,58,1
32,46,1
32,64,1
32,6,1
32,7,1
32,57,1
32,8,1
32,25,1
32,60,1
32,59,1
32,10,1
32,47,1
32,28,1
33,44,1
35,44,1
36,44,1
37,44,1
38,51,1
39,4,1
40,58,1
40,46,1
40,64,1
40,6,1
40,7,1
40,57,1
40,8,1
40,25,1
40,60,1
40,59,1
40,10,1
40,47,1
40,28,1
41,58,1
41,64,1
41,6,1
41,7,1
41,57,1
41,25,1
41,60,1
41,59,1
41,28,1
42,48,1
42,2,1
42,3,1
42,1,1
42,71,1
42,14,1
42,49,1
42,55,1
42,75,1
43,27,1
44,7,1
46,58,1
46,46,1
46,64,1
46,6,1
46,7,1
46,57,1
46,8,1
46,25,1
46,60,1
46,59,1
46,10,1
46,47,1
46,28,1
47,51,1
47,50,1
47,8,1
48,37,1
48,66,1
48,74,1
49,58,1
49,46,1
49,64,1
49,6,1
49,7,1
49,57,1
49,8,1
49,25,1
49,60,1
49,59,1
49,10,1
49,47,1
49,28,1
50,7,1
51,7,1
52,44,1
53,4,1
54,12,1
55,44,1
56,58,1
56,46,1
56,64,1
56,6,1
56,7,1
56,57,1
56,8,1
56,25,1
56,60,1
56,59,1
56,10,1
56,47,1
56,28,1
57,7,1
58,44,1
59,58,1
59,46,1
59,64,1
59,6,1
59,7,1
59,57,1
59,8,1
59,25,1
59,60,1
59,59,1
59,10,1
59,47,1
59,28,1
60,44,1
61,58,1
61,46,1
61,64,1
61,6,1
61,7,1
61,57,1
61,8,1
61,25,1
61,60,1
61,59,1
