userIndex,foodIndex,eventStrength
1,27,1
3,27,1
4,25,1
5,27,1
6,20,1
7,27,1
10,27,1
11,27,1
12,27,1
13,48,1
13,2,1
13,3,1
13,1,1
13,71,1
13,14,1
13,49,1
13,55,1
13,75,1
15,27,1
16,27,1
18,27,1
19,27,1
20,25,1
20,27,1
22,29,1
23,27,1
24,54,1
25,18,1
26,58,1
26,46,1
26,64,1
26,6,1
26,7,1
26,57,1
26,8,1
26,25,1
26,60,1
26,59,1
26,10,1
26,47,1
26,28,1
27,25,1
27,27,1
30,20,1
31,29,1
33,27,1
36,19,1
37,37,1
38,2,1
38,3,1
38,71,1
39,19,1
42,27,1
45,29,1
46,25,1
46,27,1
48,32,1
50,2,1
51,33,1
52,25,1
54,32,1
55,27,1
57,27,1
61,27,1
62,37,1
62,66,1
62,74,1
64,27,1
66,26,1
66,27,1
66,29,1
67,18,1
68,25,1
68,27,1
69,27,1
72,14,1
73,27,1
76,48,1
76,2,1
76,3,1
76,1,1
76,71,1
76,14,1
76,49,1
76,55,1
76,75,1
77,32,1
78,27,1
80,27,1
82,27,1
83,18,1
84,27,1
86,27,1
87,27,1
91,29,1
92,27,1
93,37,1
95,37,1
96,44,1
97,27,1
98,23,1
98,19,1
98,22,1
98,18,1
103,25,1
103,27,1
106,28,1
108,4,1
109,25,1
109,27,1
111,18,1
112,27,1
113,27,1
115,27,1
116,48,1
116,2,1
116,3,1
116,1,1
116,71,1
116,14,1
116,49,1
116,55,1
116,75,1
118,58,1
118,46,1
118,48,1
118,16,1
118,51,1
118,36,1
118,2,1
118,23,1
118,4,1
118,5,1
118,20,1
118,19,1
118,3,1
118,64,1
118,37,1
118,72,1
118,22,1
118,38,1
118,26,1
118,76,1
118,50,1
118,66,1
118,73,1
118,52,1
118,1,1
118,71,1
118,6,1
118,41,1
118,53,1
118,14,1
118,54,1
118,7,1
118,15,1
118,43,1
118,67,1
118,62,1
118,32,1
118,49,1
118,57,1
118,8,1
118,17,1
118,74,1
118,55,1
118,25,1
118,33,1
118,69,1
118,68,1
118,63,1
118,60,1
118,59,1
118,39,1
118,24,1
118,34,1
118,11,1
118,9,1
118,10,1
118,30,1
118,31,1
118,65,1
118,47,1
118,75,1
118,18,1
118,44,1
118,12,1
118,35,1
118,40,1
118,13,1
118,45,1
118,70,1
118,27,1
118,61,1
118,29,1
118,28,1
118,42,1
119,9,1
124,42,1
125,44,1
126,58,1
126,46,1
126,64,1
126,6,1
126,7,1
126,57,1
126,8,1
126,25,1
126,60,1
126,59,1
126,10,1
126,47,1
126,28,1
128,51,1
130,20,1
131,27,1
133,27,1
135,72,1
135,26,1
135,76,1
135,41,1
135,33,1
135,34,1
135,45,1
135,27,1
135,61,1
135,29,1
137,29,1
139,73,1
139,63,1
143,51,1
146,27,1
147,18,1
150,27,1
151,27,1
153,58,1
153,46,1
153,64,1
153,6,1
153,7,1
153,57,1
153,8,1
153,25,1
153,60,1
153,59,1
153,10,1
153,47,1
153,28,1
158,23,1
158,19,1
158,22,1
158,18,1
159,27,1
162,27,1
163,18,1
164,27,1
165,18,1
166,71,1
167,27,1
168,20,1
170,25,1
170,27,1
171,20,1
172,27,1
174,27,1
175,18,1
176,37,1
178,23,1
178,19,1
178,22,1
178,18,1
181,58,1
181,46,1
181,64,1
181,6,1
181,7,1
181,57,1
181,8,1
181,25,1
181,60,1
181,59,1
181,10,1
181,47,1
181,28,1
182,58,1
182,46,1
182,64,1
182,6,1
182,7,1
182,57,1
182,8,1
182,25,1
182,60,1
182,59,1
182,10,1
182,47,1
182,28,1
187,27,1
188,27,1
190,27,1
191,22,1
191,38,1
191,52,1
191,53,1
191,33,1
191,24,1
191,11,1
191,30,1
191,31,1
191,12,1
192,45,1
192,29,1
195,51,1
198,58,1
198,46,1
198,64,1
198,6,1
198,7,1
198,57,1
198,8,1
198,25,1
198,60,1
198,59,1
198,10,1
198,47,1
198,28,1
201,27,1
202,27,1
203,44,1
204,27,1
206,23,1
206,19,1
206,22,1
206,18,1
209,37,1
210,29,1
211,54,1
211,49,1
211,55,1
212,67,1
212,25,1
212,27,1
214,18,1
216,27,1
