,userIndex,foodIndex,eventStrength
0,1,1,1
1,2,19,1
2,2,39,1
3,3,19,1
4,3,39,1
5,4,9,1
6,5,42,1
7,6,44,1
8,7,40,1
9,8,1,1
10,9,27,1
11,10,38,1
12,11,38,1
13,12,38,1
14,13,1,1
15,13,14,1
16,14,38,1
17,15,43,1
18,16,1,1
19,17,2,1
20,17,3,1
21,17,71,1
22,18,37,1
23,18,66,1
24,18,74,1
25,19,40,1
26,20,42,1
27,21,36,1
28,23,14,1
29,24,2,1
30,24,3,1
31,24,71,1
32,25,40,1
33,26,38,1
34,27,14,1
35,28,29,1
36,29,37,1
37,30,36,1
38,31,22,1
39,32,1,1
40,32,14,1
41,33,40,1
42,34,40,1
43,35,14,1
44,36,43,1
45,37,36,1
46,38,2,1
47,38,3,1
48,38,71,1
49,39,40,1
50,40,1,1
51,40,14,1
52,41,9,1
53,42,2,1
54,42,3,1
55,42,71,1
56,43,44,1
57,44,19,1
58,45,12,1
59,46,2,1
60,46,3,1
61,46,71,1
62,47,1,1
63,48,40,1
64,49,1,1
65,50,38,1
66,51,38,1
67,52,42,1
68,53,38,1
69,54,38,1
70,55,9,1
71,56,1,1
72,57,40,1
73,59,40,1
74,60,30,1
75,61,42,1
76,62,36,1
77,63,41,1
78,64,43,1
79,65,43,1
80,66,48,1
81,66,2,1
82,66,3,1
83,66,1,1
84,66,71,1
85,66,14,1
86,66,49,1
87,66,55,1
88,66,75,1
89,67,16,1
90,68,22,1
91,68,38,1
92,68,52,1
93,68,53,1
94,68,33,1
95,68,24,1
96,68,11,1
97,68,30,1
98,68,31,1
99,68,12,1
100,69,19,1
101,70,40,1
102,71,42,1
103,72,33,1
104,73,35,1
105,74,36,1
106,75,38,1
107,76,38,1
108,76,1,1
109,77,36,1
110,77,38,1
111,78,33,1
112,79,38,1
113,80,41,1
114,81,1,1
115,82,37,1
116,83,38,1
117,84,3,1
118,85,40,1
119,86,42,1
120,87,37,1
121,87,66,1
122,87,74,1
123,88,44,1
124,89,35,1
125,90,38,1
126,90,1,1
127,91,43,1
128,92,43,1
129,93,20,1
130,94,42,1
131,95,40,1
132,96,20,1
133,97,48,1
134,97,36,1
135,97,2,1
136,97,5,1
137,97,3,1
138,97,1,1
139,97,14,1
140,97,49,1
141,97,40,1
142,98,33,1
143,99,43,1
144,100,24,1
145,101,1,1
146,102,44,1
147,103,29,1
148,104,30,1
149,105,8,1
150,106,20,1
151,107,23,1
152,108,31,1
153,109,40,1
154,110,42,1
155,111,22,1
156,112,35,1
157,113,29,1
158,114,38,1
159,114,1,1
160,115,48,1
161,115,36,1
162,115,2,1
163,115,5,1
164,115,3,1
165,115,1,1
166,115,14,1
167,115,49,1
168,115,40,1
169,116,1,1
170,117,19,1
171,118,36,1
172,119,9,1
173,120,40,1
174,121,54,1
175,122,38,1
176,123,44,1
177,124,41,1
178,124,43,1
179,124,40,1
180,124,70,1
181,125,2,1
182,125,3,1
183,125,71,1
184,126,1,1
185,127,40,1
186,128,1,1
187,129,18,1
188,130,1,1
189,130,14,1
190,131,1,1
191,132,27,1
192,133,38,1
193,134,48,1
194,134,2,1
195,134,3,1
196,134,1,1
197,134,71,1
198,134,14,1
199,134,49,1
200,134,55,1
201,134,75,1
202,135,43,1
203,136,42,1
204,137,36,1
205,138,38,1
206,139,22,1
207,139,38,1
208,139,52,1
209,139,53,1
210,139,33,1
211,139,24,1
212,139,11,1
213,139,30,1
214,139,31,1
215,139,12,1
216,140,38,1
217,140,1,1
218,141,37,1
219,142,36,1
220,143,38,1
221,144,43,1
222,145,19,1
223,145,18,1
224,146,42,1
225,147,22,1
226,147,38,1
227,147,52,1
228,147,53,1
229,147,33,1
230,147,24,1
231,147,11,1
232,147,30,1
233,147,31,1
234,147,12,1
235,148,43,1
236,149,24,1
237,150,38,1
238,151,2,1
239,152,33,1
240,153,38,1
241,154,42,1
242,155,22,1
243,156,44,1
244,157,24,1
245,158,38,1
246,158,1,1
247,159,3,1
248,160,42,1
249,161,2,1
250,161,3,1
251,161,71,1
252,162,33,1
253,163,1,1
254,163,14,1
255,164,67,1
256,165,38,1
257,166,19,1
258,166,1,1
259,166,39,1
260,167,38,1
261,168,20,1
262,169,38,1
263,170,48,1
264,170,36,1
265,170,2,1
266,170,5,1
267,170,3,1
268,170,1,1
269,170,14,1
270,170,49,1
271,170,40,1
272,171,36,1
273,172,38,1
274,173,37,1
275,174,40,1
276,175,42,1
277,176,19,1
278,177,53,1
279,178,43,1
280,179,38,1
281,179,1,1
282,180,1,1
283,181,54,1
284,181,49,1
285,181,55,1
286,182,54,1
287,182,49,1
288,182,55,1
289,183,36,1
290,184,20,1
291,185,32,1
292,186,40,1
293,187,1,1
294,188,40,1
295,189,36,1
296,190,43,1
297,191,40,1
298,192,36,1
299,193,48,1
300,193,2,1
301,193,3,1
302,193,1,1
303,193,71,1
304,193,14,1
305,193,49,1
306,193,55,1
307,193,75,1
308,194,1,1
309,194,14,1
310,195,31,1
311,196,19,1
312,197,48,1
313,197,2,1
314,197,3,1
315,197,1,1
316,197,71,1
317,197,14,1
318,197,49,1
319,197,55,1
320,197,75,1
321,198,40,1
322,199,9,1
323,200,42,1
324,201,44,1
325,202,40,1
326,203,38,1
327,204,42,1
328,205,38,1
329,205,1,1
330,206,42,1
331,207,42,1
332,208,42,1
333,209,54,1
334,210,40,1
335,211,43,1
336,212,20,1
337,213,19,1
338,213,1,1
339,213,39,1
340,214,2,1
341,215,43,1
342,216,1,1
343,217,9,1
344,218,19,1
345,218,1,1
346,218,39,1
