,userIndex,foodIndex,eventStrength
0,1,27,1
1,3,27,1
2,4,25,1
3,5,27,1
4,6,20,1
5,7,27,1
6,10,27,1
7,11,27,1
8,12,27,1
9,13,48,1
10,13,2,1
11,13,3,1
12,13,1,1
13,13,71,1
14,13,14,1
15,13,49,1
16,13,55,1
17,13,75,1
18,15,27,1
19,16,27,1
20,18,27,1
21,19,27,1
22,20,25,1
23,20,27,1
24,22,29,1
25,23,27,1
26,24,54,1
27,25,18,1
28,26,58,1
29,26,46,1
30,26,64,1
31,26,6,1
32,26,7,1
33,26,57,1
34,26,8,1
35,26,25,1
36,26,60,1
37,26,59,1
38,26,10,1
39,26,47,1
40,26,28,1
41,27,25,1
42,27,27,1
43,30,20,1
44,31,29,1
45,33,27,1
46,36,19,1
47,37,37,1
48,38,2,1
49,38,3,1
50,38,71,1
51,39,19,1
52,42,27,1
53,45,29,1
54,46,25,1
55,46,27,1
56,48,32,1
57,50,2,1
58,51,33,1
59,52,25,1
60,54,32,1
61,55,27,1
62,57,27,1
63,61,27,1
64,62,37,1
65,62,66,1
66,62,74,1
67,64,27,1
68,66,26,1
69,66,27,1
70,66,29,1
71,67,18,1
72,68,25,1
73,68,27,1
74,69,27,1
75,72,14,1
76,73,27,1
77,76,48,1
78,76,2,1
79,76,3,1
80,76,1,1
81,76,71,1
82,76,14,1
83,76,49,1
84,76,55,1
85,76,75,1
86,77,32,1
87,78,27,1
88,80,27,1
89,82,27,1
90,83,18,1
91,84,27,1
92,86,27,1
93,87,27,1
94,91,29,1
95,92,27,1
96,93,37,1
97,95,37,1
98,96,44,1
99,97,27,1
100,98,23,1
101,98,19,1
102,98,22,1
103,98,18,1
104,103,25,1
105,103,27,1
106,106,28,1
107,108,4,1
108,109,25,1
109,109,27,1
110,111,18,1
111,112,27,1
112,113,27,1
113,115,27,1
114,116,48,1
115,116,2,1
116,116,3,1
117,116,1,1
118,116,71,1
119,116,14,1
120,116,49,1
121,116,55,1
122,116,75,1
123,118,58,1
124,118,46,1
125,118,48,1
126,118,16,1
127,118,51,1
128,118,36,1
129,118,2,1
130,118,23,1
131,118,4,1
132,118,5,1
133,118,20,1
134,118,19,1
135,118,3,1
136,118,64,1
137,118,37,1
138,118,72,1
139,118,22,1
140,118,38,1
141,118,26,1
142,118,76,1
143,118,50,1
144,118,66,1
145,118,73,1
146,118,52,1
147,118,1,1
148,118,71,1
149,118,6,1
150,118,41,1
151,118,53,1
152,118,14,1
153,118,54,1
154,118,7,1
155,118,15,1
156,118,43,1
157,118,67,1
158,118,62,1
159,118,32,1
160,118,49,1
161,118,57,1
162,118,8,1
163,118,17,1
164,118,74,1
165,118,55,1
166,118,25,1
167,118,33,1
168,118,69,1
169,118,68,1
170,118,63,1
171,118,60,1
172,118,59,1
173,118,39,1
174,118,24,1
175,118,34,1
176,118,11,1
177,118,9,1
178,118,10,1
179,118,30,1
180,118,31,1
181,118,65,1
182,118,47,1
183,118,75,1
184,118,18,1
185,118,44,1
186,118,12,1
187,118,35,1
188,118,40,1
189,118,13,1
190,118,45,1
191,118,70,1
192,118,27,1
193,118,61,1
194,118,29,1
195,118,28,1
196,118,42,1
197,119,9,1
198,124,42,1
199,125,44,1
200,126,58,1
201,126,46,1
202,126,64,1
203,126,6,1
204,126,7,1
205,126,57,1
206,126,8,1
207,126,25,1
208,126,60,1
209,126,59,1
210,126,10,1
211,126,47,1
212,126,28,1
213,128,51,1
214,130,20,1
215,131,27,1
216,133,27,1
217,135,72,1
218,135,26,1
219,135,76,1
220,135,41,1
221,135,33,1
222,135,34,1
223,135,45,1
224,135,27,1
225,135,61,1
226,135,29,1
227,137,29,1
228,139,73,1
229,139,63,1
230,143,51,1
231,146,27,1
232,147,18,1
233,150,27,1
234,151,27,1
235,153,58,1
236,153,46,1
237,153,64,1
238,153,6,1
239,153,7,1
240,153,57,1
241,153,8,1
242,153,25,1
243,153,60,1
244,153,59,1
245,153,10,1
246,153,47,1
247,153,28,1
248,158,23,1
249,158,19,1
250,158,22,1
251,158,18,1
252,159,27,1
253,162,27,1
254,163,18,1
255,164,27,1
256,165,18,1
257,166,71,1
258,167,27,1
259,168,20,1
260,170,25,1
261,170,27,1
262,171,20,1
263,172,27,1
264,174,27,1
265,175,18,1
266,176,37,1
267,178,23,1
268,178,19,1
269,178,22,1
270,178,18,1
271,181,58,1
272,181,46,1
273,181,64,1
274,181,6,1
275,181,7,1
276,181,57,1
277,181,8,1
278,181,25,1
279,181,60,1
280,181,59,1
281,181,10,1
282,181,47,1
283,181,28,1
284,182,58,1
285,182,46,1
286,182,64,1
287,182,6,1
288,182,7,1
289,182,57,1
290,182,8,1
291,182,25,1
292,182,60,1
293,182,59,1
294,182,10,1
295,182,47,1
296,182,28,1
297,187,27,1
298,188,27,1
299,190,27,1
300,191,22,1
301,191,38,1
302,191,52,1
303,191,53,1
304,191,33,1
305,191,24,1
306,191,11,1
307,191,30,1
308,191,31,1
309,191,12,1
310,192,45,1
311,192,29,1
312,195,51,1
313,198,58,1
314,198,46,1
315,198,64,1
316,198,6,1
317,198,7,1
318,198,57,1
319,198,8,1
320,198,25,1
321,198,60,1
322,198,59,1
323,198,10,1
324,198,47,1
325,198,28,1
326,201,27,1
327,202,27,1
328,203,44,1
329,204,27,1
330,206,23,1
331,206,19,1
332,206,22,1
333,206,18,1
334,209,37,1
335,210,29,1
336,211,54,1
337,211,49,1
338,211,55,1
339,212,67,1
340,212,25,1
341,212,27,1
342,214,18,1
343,216,27,1
