,userIndex,foodIndex,eventStrength
0,2,58,1
1,2,46,1
2,2,64,1
3,2,6,1
4,2,7,1
5,2,57,1
6,2,8,1
7,2,25,1
8,2,60,1
9,2,59,1
10,2,10,1
11,2,47,1
12,2,28,1
13,3,37,1
14,4,50,1
15,5,4,1
16,6,44,1
17,7,27,1
18,8,7,1
19,9,44,1
20,10,27,1
21,11,9,1
22,12,58,1
23,12,46,1
24,12,64,1
25,12,6,1
26,12,7,1
27,12,57,1
28,12,8,1
29,12,25,1
30,12,60,1
31,12,59,1
32,12,10,1
33,12,47,1
34,12,28,1
35,13,4,1
36,14,7,1
37,15,22,1
38,16,19,1
39,17,58,1
40,17,46,1
41,17,64,1
42,17,6,1
43,17,7,1
44,17,57,1
45,17,8,1
46,17,25,1
47,17,60,1
48,17,59,1
49,17,10,1
50,17,47,1
51,17,28,1
52,18,7,1
53,19,37,1
54,19,66,1
55,19,74,1
56,20,51,1
57,20,50,1
58,20,8,1
59,21,44,1
60,23,18,1
61,24,7,1
62,25,58,1
63,25,46,1
64,25,64,1
65,25,6,1
66,25,7,1
67,25,57,1
68,25,8,1
69,25,25,1
70,25,60,1
71,25,59,1
72,25,10,1
73,25,47,1
74,25,28,1
75,26,37,1
76,27,58,1
77,27,46,1
78,27,64,1
79,27,6,1
80,27,7,1
81,27,57,1
82,27,8,1
83,27,25,1
84,27,60,1
85,27,59,1
86,27,10,1
87,27,47,1
88,27,28,1
89,28,44,1
90,29,37,1
91,30,44,1
92,32,58,1
93,32,46,1
94,32,64,1
95,32,6,1
96,32,7,1
97,32,57,1
98,32,8,1
99,32,25,1
100,32,60,1
101,32,59,1
102,32,10,1
103,32,47,1
104,32,28,1
105,33,44,1
106,35,44,1
107,36,44,1
108,37,44,1
109,38,51,1
110,39,4,1
111,40,58,1
112,40,46,1
113,40,64,1
114,40,6,1
115,40,7,1
116,40,57,1
117,40,8,1
118,40,25,1
119,40,60,1
120,40,59,1
121,40,10,1
122,40,47,1
123,40,28,1
124,41,58,1
125,41,64,1
126,41,6,1
127,41,7,1
128,41,57,1
129,41,25,1
130,41,60,1
131,41,59,1
132,41,28,1
133,42,48,1
134,42,2,1
135,42,3,1
